company,location,education,skills_description,job_type,salary,job_experience,job_role
CONDE NAST (INDIA) PRIVATE LIMITED,"Chennai, Bengaluru",Undergraduate,"IT Skills, Java, Python, Software Development, AWS, Spark",contract,1375619.0,6-7,Data Engineer
Metyis,Bengaluru,Undergraduate,"Unix, Team management, Linux, Data processing, Business intelligence, Digital marketing, Operations, Analytics",contract,1711976.0,7-8,Data Engineering Manager
BookMyShow,Mumbai,Postgraduate,"Nosql, Data Pipeline, Cloud Services, Scala, Data Structures, Data Scientist, Hadoop, Big Data",full-time,1761203.0,1-7,Data Engineer
Srivango,"Hyderabad, Pune, Bengaluru",Not Specified,"Amazon Redshift, Glue, Redshift, S3, Python, Spark, AWS, ETl",contract,2112032.0,7-8,IE - AWS Data Engineer
SDNA Global,Bengaluru,Postgraduate,"java, SCALA, hadoop, data engineering, IT Skills, Python, Software Development, Cloud",contract,1516130.0,1-3,Data Engineer
Kenan Management Consultants Private Limited,"Kochi, Bengaluru, Trivandrum/Thiruvananthapuram",Not Specified,"ScalaSpark, Apache Spark, PySpark, Azure Data Factory, SQL Server, Databricks, IT Skills, Azure",full-time,2368240.0,3-4,Data Engineer Opportunity in Bangalore/Cochin/Trivandrum
idfc first bank,Mumbai,Undergraduate,"Automation, Usage, Architecture, data security, Data Architect, Corporate, model development, Deployment",Not Specified,1021334.0,1-5,Data Engineer
Symphoni HR Private Limited,Bengaluru,Postgraduate,"MySQL, sql, data analysis, NOSQL, Kafka, ETL, data processing, Data mining",full-time,1830046.0,4-5,Job Opening as Data Engineer
Orcapod Consulting Services Private Limited,Bengaluru,Postgraduate,"GCP, Apache Tomcat, AWS, Data Management, Python, Scrum, Big Query, AWS GCP",contract,2297707.0,3-6,Gcp Data Engineer
Bean HR Consulting,Bengaluru,Postgraduate,"GCP, big data, cloud, hive, Hadoop",full-time,688249.0,1-3,Data Engineer (Big Data & GCP Cloud) / Only Immediate Joiner's
Scoop Technologies Pvt Ltd,Bengaluru,Undergraduate,"Bigdata, Microservices, Scala, Spark, Java, IT Skills, Big Data",contract,1982712.0,0-7,Data Engineer | Hadoop Developer | Bangalore
Maropost,Mohali,Postgraduate,"IT Skills, Cloud, Project Management, Elastic Search, AWS, BPO, project management, Order management",contract,978228.0,2-3,Data Engineer
Sutherland Global Services Inc,Hyderabad,Undergraduate,"IT Skills, Python, Software Development, Testing, Machine Learning, DevOps, Power BI, Automation",full-time,931051.0,4-5,Data Engineer (Azure Data Engineering)
JobsTV India,"Hyderabad, Pune, Bengaluru",Undergraduate,"Java/Python/Spark, Big Data, Data Warehousing, ETL, Gcp Cloud, Python, Snowflake, Spark",contract,664605.0,2-5,Gcp Data Engineer
JobsTV India,"Hyderabad, Pune, Bengaluru",Postgraduate,"Data Ingestion, Aws Cloud Native, Data Warehousing, Databricks, Java/Python/Scala, AWS Analytics, Java, Data warehouse",contract,,7-8,AWS Data Engineer
TransOrg Solutions & Services (P) Ltd.,"Bengaluru, Delhi NCR, Mumbai",Undergraduate,"Hive, Spark, Python, Sqoop, Cloudera, SCALA, Kafka, Flume",full-time,1108003.0,3-5,Data Engineer
Rackspace Technology,Hyderabad,Undergraduate,"Computer science, RDBMS, MySQL, Agile, Scrum, Informatica, SSIS, microsoft",full-time,2353990.0,3-7,Manager Data Engineering
Adecco India Private Limited,Bengaluru,Undergraduate,"AWS Athena, DynamoDB, AWS Data Engineer, Proficient in AWS Redshift, Snowflake, S3, PowerShell, Glue Pyspark",contract,675904.0,7-8,AWS-Data Engineer (Consultant)_Bangalore location
PHYSICSWALLAH PRIVATE LIMITED,"Hyderabad, Bengaluru, Delhi NCR",Not Specified,"Amazon Redshift, Bigdata, MongoDB, AWS, Python, Java, Glue, Lambada",Not Specified,1658084.0,2-7,Data Engineer
AGILITY HUMAN RESOURCE MANAGEMENT SERVICES PRIVATE LIMITED,"Mumbai, Pune, Bengaluru",Postgraduate,"BI Tools Tableau, Dashboard Reporting, Tableau Server, BI Reporting tool, BI, Tableau, IT Skills, Testing",contract,933467.0,7-8,Specialist - Data Engineering
Pluto7,Bengaluru,Postgraduate,"REST APIs, Flask, Nodejs framework, MVC architecture, Django, RDBMS, Pub, Python",contract,2172596.0,4-5,Data Engineer
SR UTILITY SOLUTIONS INDIA PRIVATE LIMITED,"Visakhapatnam, Hyderabad, Bengaluru",Not Specified,"Hadoop, Data modelling, Spark SQL, Hive, Spark, AWS, SQL, GCP",full-time,2114453.0,6-8,Data Engineer | Australia Work permit Visa( sponsor Visa)
Rite Software Solutions And Services LLP,"Hyderabad, Bengaluru",Postgraduate,"Big Data, EMR, AWS data services, S3, Spark, Data Lake, EC2, Redshift",contract,2259390.0,2-6,Data Engineer
ValueLabs,"Indore, Hyderabad",Postgraduate,"front end, Data Engineering, Backend developer, Agile, team development, product quality, user experience",contract,,0-3,Data Engineer
Orbit Techsol (W) Pvt Ltd,Delhi NCR,Undergraduate,"SQL - designing tables, PySpark, Azure, Azure SQL Server, SQL, Azure Databricks, SQL DW, Scala",full-time,514943.0,1-3,Data Engineer
Civica Resource Private Limited,Vadodara,Postgraduate,"Tensorflow, Pytorch, Azure Machine Learning, Python, SQL, IT Skills, Data Science, Machine Learning",full-time,1605649.0,4-6,Software Engineer (Data Science)
Impetus,"Noida, Indore, Pune, Jaipur",Undergraduate,"communication, Cloud Formation, Spark, SQS, Glacier, SNS Cloudwatch, Big Data, Scala",Not Specified,1555795.0,2-3,AWS Cloud Data Engineer
Catalyst,Bengaluru,Not Specified,"IT Skills, Python, Data Science, Machine Learning, Tableau, NLP, Data Scientist, Artificial Intelligence",full-time,1322434.0,5-6,Data Science/Analysis Expert - Machine Learning
FACTSET SYSTEMS INDIA PVT LTD,Hyderabad,Postgraduate,"Automation, Data analysis, data science, Linux, Data structures, Windows, Data mining, MATLAB",Not Specified,,7-8,Digital - Software Engineer III (Data Mining Engineer)
Dell International Services IndiaPrivate Limited,Bengaluru,Not Specified,"Python, IT Skills, Java, Data Science, Cloud, Big Data, Azure, MS SQL",contract,1247009.0,7-8,"Advisor, Data Engineering (I7)"
Parallel Wireless,Bengaluru,Undergraduate,"Python, Tensorflow, Java, NoSQL, Algorithms, Artificial Intelligence, SCALA, Aiml",contract,851280.0,0-7,Data Engineer - AIML
Onward Technologies Limited,Bengaluru,Postgraduate,"Python/Java/NodeJS, SCALA, Spark, aws, IT Skills, Java, Python",contract,2459344.0,5-7,Immediate-Data Engineer-Scala
YALLAS TECHNOLOGY SOLUTIONS (OPC) PRIVATE LIMITED,Bengaluru,Undergraduate,"Talend Open Studio, ETL, SQL, PL / SQL, Dimensional Modeling, Snowflake, Relational Modeling, Talend",full-time,,3-4,Data Engineer-OLAP
Thirdware Solution Limited,Chennai,Undergraduate,"BigQuery, IT Skills, Cloud, gke, BigTable, Cloud Functions, apigee, google automotive services",contract,,5-6,Google Cloud Data Engineer - - Thirdware ( Tech Mahindra)
Techno Wise ( INDIA ),Ahmedabad,Postgraduate,"Backend, Version control, NoSQL, cassandra, MySQL, Javascript, Customer support, Data quality",contract,1129743.0,7-8,Data Engineer
TeamPlus Staffing Solution Pvt Ltd,Hyderabad,Undergraduate,"Cloud computing, RCA, MS SQL, RDBMS, Data processing, Oracle, AWS, SQL",full-time,1528995.0,7-8,Data Engineer / Python Developer - Python and Pandas
Abzooba India Infotech Private Limited,Pune,Postgraduate,"pyspark, Azure Databricks, azure data factory, sql scripting, python, azure data lake, spark, data structures",contract,667558.0,3-7,Azure Data Engineer | Product based MNC | Pune
Miracle Software Systems (I) Pvt Ltd,"Visakhapatnam, Hyderabad",Undergraduate,"Azure Data Factory, Power Bi, Azure Synapse, python, azure data lake, SCALA, Azure Databricks, pyspark",full-time,1107448.0,4-5,Azure Data Engineer
Decision Point Analytics,Gurugram,Postgraduate,"Power Bi, Data Structures, Mysql, Big Data, Data Engineer, Spark, Data Warehousing, Etl",contract,1555673.0,2-3,Data Engineer
GMMCO Limited,Chennai,Undergraduate,"Data Modeling, Data Transformation, Data Quality, Azure, Power Bi, Software Development Methodologies, Sap Is, Database Design",full-time,2103674.0,1-6,Data Engineer
PEPSI FOODS PRIV LIMITED,Hyderabad,Postgraduate,"Solution architecture, Data management, Enterprise architecture, Analytical, Consulting, Machine learning, SCALA, Application development",full-time,1714574.0,6-8,"Manager, Data Engineer, ML Architecture"
Espire Infolabs,Gurugram,Not Specified,"azure databricks, Azure Data Factory, pyspark, Data Lake, Impala, CI, HDFS, Hive",contract,2375294.0,2-7,Data Engineer (Onsite-Australia)
Merit Group,Chennai,Postgraduate,"NoSQL, RDBMS, Coding, Machine learning, Data processing, MongoDB, Unit testing, Project delivery",full-time,976479.0,1-2,Data Engineer
HealthTech,Remote,Undergraduate,"Good Communication In English, SQL Queries, Healthcare Domain, Analytical Skill, data migration, SQL",contract,2349825.0,7-8,Urgent opening For Data Migration Engineer (Permanent Work from Home)
Merit Group,Chennai,Postgraduate,"Data Factory, Azure Data, Sql Server, Cloud, Big Data, Data Engineer, Devops, Python",full-time,1509370.0,6-7,Azure Data Engineer
Delta Technology,Hyderabad,Not Specified,"Data Engineering, ETL, AWS, IT Skills, Python, Cloud, DevOps, Jenkins",full-time,1148778.0,1-2,AWS Data Engineer
"Rakuten, Inc.",Bengaluru,Undergraduate,"Computer science, SAN, Linux, Coding, Machine learning, Information retrieval, Research, Data mining",full-time,617743.0,4-6,"Senior Research Scientist, Language Program"
Expleo Group,Pune,Postgraduate,"Spark, Hive, IT Skills, Azure, Focus, Hadoop, data governance, Data processing",contract,881080.0,0-4,Data Engineer
TECHNOFLAIR SOLUTIONS INDIA PRIVATE LIMITED,Hyderabad,Undergraduate,"Data Science, python, Data Structures, Web API, data modelling, SQL Server, written communication, R",contract,747703.0,7-8,Data Science Engineer
Nihilent,Gurugram,Undergraduate,"Statistical Analysis, Spark, Python, Star Schema, Hadoop, ELT, IT Skills, Big Data",contract,1546989.0,4-6,Data Engineer
Merit Group,Chennai,Undergraduate,"IT Skills, Python, Testing, Machine Learning, Cloud, Elastic Search, Big Data, NoSQL",full-time,2200896.0,6-7,Data Engineer
Shell,Chennai,Postgraduate,"SAP PM, Maintenance Engineering, Maintenance Management, Celonis, Power BI, Plant Maintenance, Production, Chemical Engineering",contract,2211962.0,2-3,Process Data Engineer
Harsco,Hyderabad,Postgraduate,"Cloud computing, Automation, Change management, Powershell, Performance testing, Gap analysis, Unit testing, Business intelligence",contract,591391.0,2-3,Azure Data Engineer
Z & A Inc,"Goregaon, Mumbai",Undergraduate,"Data Engineering, Data Anlalytics, Linux, AWS, SQL",Not Specified,1709957.0,3-5,Data Engineer | Zen & Art | Mumbai
Delta Technology,Remote,Undergraduate,"snowflake, IT Skills, Python, Data Science, Cloud, DevOps, Jenkins, AWS",contract,466358.0,1-5,AWS - Snowflake DATA Engineer
Sollys Consulting and Solutions Pvt Ltd,Hyderabad,Not Specified,"Big Data, OLAP, Spark, Cassandra, AI, Data, written, Vertica",full-time,2391238.0,2-3,Big Data Engineer (Scala and Framework Akka)
Epiqsystems India Private Limited,Hyderabad,Undergraduate,"Snowflake, IT Skills, Azure, data cleansing, data analytics, data mining, Data Engineer, business analysis",contract,1572317.0,5-6,Data Engineer
Helical IT Solutions Pvt. Ltd.,Hyderabad,Postgraduate,"IT Skills, Java, Python, Big Data, AWS, Tableau, Computer science, Performance tuning",full-time,2097927.0,4-6,Data Engineer - AWS GLUE
PIPECANDY TECHNOLOGIES PRIVATE LIMITED,Chennai,Undergraduate,"Web Crawling, python, Typescript, Javascript, Data Scraping, no sql",Not Specified,1651136.0,3-7,"Data Acquisition Engineer-PipeCandy, Chennai"
Purpleslate Pvt Ltd.,Chennai,Postgraduate,"SQL Development, Kafka, Spark, Python, IT Skills, Cloud, Big Data, Azure",full-time,1920561.0,5-7,Azure Data Engineer
Evolent Health,Pune,Undergraduate,"SQL programming, SAS macros, SAS, PROC SQL, SAS SQL, Data Analytics",full-time,678986.0,7-8,Data Engineer ( PDS)
Microsoft,Hyderabad,Postgraduate,"Computer science, Cloud computing, Software design, Data processing, Data structures, Windows, microsoft, Open source",full-time,764138.0,3-5,Data Engineer
BUDDI AI,Chennai,Undergraduate,"Big Data, Data Engineer, Python, analysis, Data Analysis, OOP, ETL, RESTful web services",contract,664891.0,1-3,Data Engineer / Big Data Engineer
Merit Group,Chennai,Not Specified,"IT Skills, Python, Cloud, DevOps, Big Data, Azure, Interpersonal skills, MS SQL",contract,894443.0,1-3,Azure Data Engineer
Accord Infosystems,Mumbai,Undergraduate,"Data Engineering, management, analytical, Golang, Java, C/C++, BI tools, Hadoop",contract,1000782.0,0-4,Data Engineer
Shell,Chennai,Postgraduate,"SAP PM, Alteyrix, Power BI, SLD, Hazard Analysis, Effects Analysis, PFD, CMMS",contract,2388881.0,2-3,Process Data Engineer - FE
IVY SOFTWARE DEVELOPMENT SERVICES PVT LTD,Hyderabad,Postgraduate,"Data Quality, data governance, elt, sql, dwh, master data management, informtica, plsql",contract,1249397.0,3-4,Data Governance Engineer
TotalAI Systems India LLP,Remote,Postgraduate,"ETL, algorithms, data quality, python, data analysis, data mining, predictive modeling, Data Extraction",contract,1641925.0,0-6,Data Engineer
NIVEUS SOLUTIONS PRIVATE LIMITED,"Mangaluru/Mangalore, Udupi, Mumbai",Postgraduate,"ETL, sql, Python, IT Skills, Java, Cloud, Big Data, Airflow",full-time,1789044.0,5-7,Gcp Data Engineer
Object Technology Solutions India Pvt. Ltd,Hyderabad,Undergraduate,"rdbms, Hive, Core Java, Spark, big data, data lifecycle, API design, Azure",contract,1569143.0,0-4,Data Engineer
Gartner India Research &amp; Advisory Services Pvt Ltd,Gurugram,Postgraduate,"Communication, analytical, Postgresql, RDBMS, Oracle, MySQL, Snowflake, SQL",Not Specified,2312413.0,6-8,Data Engineer (Python)
Khoj Information Technology Private Limited,Gurugram,Not Specified,"aws, SQL queries, Azure Cloud, ELT methodology, ETL, Data warehousing, Git, CD",contract,2495721.0,2-4,Cloud Data Engineer (Snowflake)
LatentView,Chennai,Postgraduate,"Data Engineering, sql, Python, Airflow, Azure Data Factory, Azure Databricks, AWS, azure",full-time,1058436.0,0-1,Data Engineer
"Rakuten, Inc.",Bengaluru,Not Specified,"Unix, Computer science, Linux, Business research, Project management, Machine learning, Telecommunication, Research",Not Specified,1667250.0,2-6,"Senior Research Scientist, Credit Scoring"
idfc first bank,Mumbai,Undergraduate,"RCA, Data management, GCP, Project management, Data processing, JIRA, Monitoring, SQL",full-time,1579213.0,0-3,Data Engineer
Reputation,Hyderabad,Undergraduate,"ERP, Data management, Venture capital, Healthcare, Business intelligence, Financial services, Automotive, Auditing",full-time,1726309.0,3-4,Data Engineer
PreludeSys,Chennai,Undergraduate,"Azure, SCALA, IT Skills, Java, Python, Cloud, Big Data, Jenkins",Not Specified,1511462.0,0-1,Data Engineer | PreludeSys India | Great place To Work
One Mobikwik Systems Private Limited,Gurugram,Postgraduate,"Schema, PHP, Windows, microsoft, cisco, Analytics, SQL, Android",contract,2143435.0,5-6,Data Engineer
PayPal,Chennai,Undergraduate,"Computer science, Web services, Project management, Reconciliation, Workflow, Entity framework, Informatica, DBMS",full-time,601329.0,0-1,Data Engineer 3-5
DATA PATTERNS (I) PVT LTD,Chennai,Postgraduate,"Allegro, Power Integrity, Written Communication, Dfm, Emi / Emc Compliance, Pcb Design, Mixed Signal, Layout Design",contract,479184.0,4-5,Engineer - PCB Design
Crisil,"Hyderabad, Mumbai",Undergraduate,"spark, SCALA",contract,,6-7,Data Engineer
AgreeYa,Noida,Postgraduate,"IT Skills, Software Development, Testing, Azure, T-SQL, SQL queries, Performance tuning, Db2",full-time,2361643.0,5-7,Data Engineer
AgreeYa,Noida,Postgraduate,"IT Skills, Software Development, Testing, Azure, Performance tuning, SQL queries, Db2, Schema",full-time,1268177.0,0-7,Data Engineer
Info Edge India,Noida,Undergraduate,"SCALA, Kafka, vp, avp, Data Lake, Spark, data engineering",full-time,1227847.0,0-1,AVP/ VP Data Engineering: Naukri.com (InfoEdge India Ltd)
DATA PATTERNS (I) PVT LTD,Chennai,Undergraduate,"parking, Usage, C, Coding, Aerospace, Debugging, Signal processing, Electronics",full-time,2321744.0,5-6,Engineer - MATLAB / Signal Processing
Intelliswift,Remote,Postgraduate,"IT Skills, Python, Oracle, Tableau, rest v2 connector, IICS, Informatica Power Center, api integration",full-time,2108789.0,7-8,Data Engineer IICS Developer
Core Edge Solutions,Bengaluru,Postgraduate,"Data Engineer, S3, Pyspark, Data Architect GCP & Bigquery RDBMS, BigQuery, Github, Big Data, GCP Hadoop & Hadoop",contract,1103697.0,0-3,Senior Data Architect
Cvent,Gurugram,Postgraduate,"Spark, Aws Glue, Java",full-time,1131007.0,0-1,Data Engineer
Druva,Pune,Postgraduate,"Data management, Architecture, Venture capital, IPO, Business intelligence, Operations, Reporting tools, SQL",contract,1165140.0,0-6,Data Engineer/Architect
Crisil,Pune,Undergraduate,"Data Visualization, Python",contract,,4-6,Data Engineer
AgreeYa,Hyderabad,Postgraduate,"Python, S3, Spark, Azure, Redshift, Shell, HIVE, PySpark",contract,1905710.0,1-3,Data Engineers
DATA PATTERNS (I) PVT LTD,Chennai,Undergraduate,"Qt, Unit Testing, Linux, Software Engineering, C / C + +, Data Structures, Electronics, Requirement Analysis",full-time,2353611.0,5-7,Engineer - SDG
CarDekho,Gurugram,Undergraduate,"Coding, MySQL, Debugging, Agile, PHP, Customer service, Technology Engineer, Automotive",full-time,738859.0,2-4,Data Engineer - Technology
Tieto,Pune,Undergraduate,"snowflake, Azure, Azure IoT, Linux, Docker, Azure DevOps, GIT, IT Skills",contract,836589.0,4-5,Azure IOT engineer (streaming data)
FACTSET SYSTEMS INDIA PVT LTD,Hyderabad,Undergraduate,"IT Skills, Python, Cloud, AWS, Azure, Computer science, Production support, Architecture",Not Specified,785637.0,0-3,Data Engineer
AgreeYa,Gurugram,Postgraduate,"IT Skills, Java, Python, Testing, Cloud, DevOps, CSS, Computer science",contract,1909588.0,6-7,Application/Data Engineers
Tieto,Pune,Undergraduate,Azure IOT engineer (streaming data),contract,1296060.0,2-3,Azure IOT engineer (streaming data)
PayPal,Chennai,Undergraduate,"Computer science, Web services, Project management, Workflow, Entity framework, Informatica, DBMS, Powerpoint",contract,,4-6,Data Engineer 2-1
Dun & Bradstreet,Hyderabad,Undergraduate,"Microsoft SQL, PowerShell, GIT, analytical, Postgres, Azure, oral, written communication",full-time,2291481.0,4-5,"Data Engineer II, Sales and Marketing Technology"
SGTC India,Gurugram,Postgraduate,"ERP, Data migration, Control system, Agile, Database, microsoft azure, Scrum, Data quality",contract,1296372.0,7-8,Data Staff Engineer
HELLES TALENT SOLUTIONS PRIVATE LIMITED,"Pune, Delhi NCR, Mumbai",Undergraduate,"etl, Data Analytics, sql, Data Analysis, powerbi",contract,1537352.0,2-3,Lead Data Analyst
Omkar placements,"Thane, Navi Mumbai, Mumbai",Undergraduate,"Data Analysis, Data Analyst",full-time,2393619.0,5-7,Data Analyst
Serving Skill,"Kolkata, Mumbai, Hyderabad, Pune, Gurugram, Chennai, Bengaluru",Not Specified,"BIG DATA, HDFS, Linux, Hive, Hadoop, Java, SQL APIs, Spark",contract,2103076.0,0-1,BIG DATA Developer
Colt Technology Services,"Gurugram, Bengaluru",Postgraduate,"Data Science, Data Analytics, machine learning",full-time,920949.0,4-5,Technical Lead - Data Steward
Ziolite,"Noida, Indore, Bengaluru",Not Specified,"Spark, Lambda, EMR, Java, NoSQL, Kinesis, Python, Dynamo DB",full-time,,2-4,Big Data Developer - Spark / Hive
Sense Talent Labs,Bengaluru,Undergraduate,"Computer science, Training, metadata, Version control, GCP, Machine learning, Data warehousing, SQL",contract,2289957.0,0-7,ML Data Ops Lead
HRDevi Talent Acquisition,Bengaluru,Undergraduate,"algorithms, python, c++, Artificial Intelligence, Data processing, Data mining, MATLAB, sql",full-time,2041512.0,7-8,Lead Data Scintist
Prolifics,"Hyderabad, Pune",Not Specified,"Superset, Azure Cloud, Java, Snowflake, PowerBI, Cognos, Python, analytical",contract,1804880.0,0-3,"Data Analytics Lead(PowerBI, Tableu)"
Perint Infosystems India Pvt. Ltd.,Bengaluru,Not Specified,"Python, IT Skills, AWS, Azure, Pandas, Flask",full-time,984938.0,2-3,"Data Engineer Junior Consultant@ ITPL ,Bangalore"
AbsolutData Research Analytics Solutions Pvt. Lt,"Pune, Gurugram",Postgraduate,"Product management, Telecom, Supply chain management, Backend, Market research, Healthcare, Telecommunication, Automotive",full-time,2122123.0,5-7,Consultant / Senior Consultant - Data Science
Krazy Mantra HR Solutions Pvt. Ltd,"Pune, Chennai, Bengaluru",Postgraduate,"Data Science, Python, ML, Data Analysis, TensorFlow, Data Wrangling, Machine Learning, IT Skills",full-time,887426.0,0-1,Data Science Analyst (Opening in MNC) PAN India
PEPSI FOODS PRIV LIMITED,Hyderabad,Postgraduate,"Supply chain, Computer science, Data analysis, metadata, Data management, Machine learning, Apache, Teradata",full-time,1552894.0,6-7,"Associate Director, Data Engineering"
HoonarTek,"Pune, Gurugram",Not Specified,"Jenkins, Data warehouse, Analytics, Linux, shell scripting, Docker, java, GIT",full-time,2154018.0,4-5,Associate Consultant- Data Engineer/ ETL Consultant
D2 Retro,"Bengaluru, Delhi NCR, Mumbai",Undergraduate,"MIS, Database Marketing, Mistake Proofing, Variance Analysis, Data Entry, MIS Reporting, Excel, Forecasting Skills",full-time,1907282.0,6-7,MIS Executive and Analyst | Data Analyst | Database Management
Vesat Management Consultants Pvt. Ltd,Bengaluru,Undergraduate,"ETL, software development, SCRUM, Hadoop, Hive, Agile, communications, Data ware housing",full-time,1641131.0,5-7,Sr. Technical Architect -Big Data -Agile -Travel -IT-MNC-Bangalore
Data Radian Technologies Pvt Ltd,Remote,Not Specified,"Metadata Management, Data Governance, IT Skills, Python, Testing, Data Quality, Collibra, SQL",full-time,623250.0,3-5,Senior Data Governance Consultant
Sutherland Global Services Inc,Hyderabad,Postgraduate,"IT Skills, Python, Oracle, MS SQL, Tableau, Power BI, Azure, Ms Sql Server",full-time,1898834.0,7-8,Associate Manager - Data Engineer
Sutherland Global Services Inc,Hyderabad,Not Specified,"IT Skills, Python, Cloud, Oracle, Tableau, Oracle Sql, Stored Procedures, Technical Support",full-time,1911207.0,7-8,Associate Manager - Data Engineer
PEOPLESTRONG TECHNOLOGIES PRIVATE LIMITED,Delhi NCR,Not Specified,"data analysis, data management, data analytics, power bi, Data Visualization, statistics",contract,560982.0,6-7,Manager Data Analyst
Karyarth Consultancy,Bengaluru,Postgraduate,"Data Analysis, Data Collection",contract,1948565.0,4-6,Data Analyst
Choice Consultants,Bengaluru,Not Specified,"Pandas, Python, SQL queries, Numpy, IT Skills, write complex, data analyst",contract,1964884.0,4-5,Data Analyst (Immediate Joiners only)
Dzaro Solutions,Remote,Postgraduate,"HL7, EDI, data analyst, MATLAB, R, SAS, Oracle, Python",contract,1284205.0,1-6,Urgent Hiring For Data Analyst - Remote
C1X Inc.,Chennai,Undergraduate,"IT Skills, Java, Python, Cloud, Javascript, Big Data, AWS, Computer science",full-time,1551720.0,5-7,Associate Data Engineer
T & A Solutions,Chennai,Postgraduate,"Safety training, Hadoop, QlikView, Licensing, big data, alteryx",contract,1858924.0,2-4,Specialty Development Senior (Big Data Developer)
SHL,Gurugram,Postgraduate,"Excel Vba, Core Java, Jython, Django, Python",contract,2163470.0,1-7,Data Analyst
Anicalls,Hyderabad,Not Specified,"Zookeeper, Big Data, written communication, Hortonworks, Hive, Sqoop, Hadoop, Kafka",full-time,1032372.0,6-7,Sr. Big Data Developer
Anicalls,Chennai,Not Specified,"cloudera, data science, XML, Hadoop, JSON, Natural language processing, Oracle, Business awareness",contract,1620624.0,4-6,Data Science Associate Engineer
Peoplefy Infosolutions Pvt. Ltd.,Pune,Postgraduate,"Master Data Management, Big Data, business analysis, Data Governance, MDM, Data Quality, IT Skills, Data Science",full-time,2494036.0,5-6,Job Opportunity For Business Analyst -Data (Pune)
Diebold,Hyderabad,Postgraduate,"Service Level, Installation, Mechanical, Hardware, Maintenance, Access Control, Troubleshooting, Data Center",contract,1208886.0,7-8,IT Analyst - Data Center Operations
Rythmos,Hyderabad,Postgraduate,"IT Skills, Python, Testing, Oracle, MS SQL, AWS, Data analysis, metadata",contract,2209322.0,2-5,Senior Big Data Developer
Darshan Soft-Tech Pvt. Ltd,Vadodara,Undergraduate,"Career development, PPC, digital analytics, Google Analytics, Analytical, Service, SEOLuxury, guest house",contract,1750896.0,2-3,WEB / DATA ANALYST BACK
Right Step Consulting,Noida,Postgraduate,"Computer science, Quality improvement, Data management, spark, design patterns, Tools, Messaging, Software",full-time,904287.0,6-8,Senior Big Data Developer
Vdart Software Services Private Limited,"Mumbai Suburban, Navi Mumbai, Mumbai",Postgraduate,"business analysis, reference data, agile methodology, IT Skills, Software Development, Project Management, BPO, project management",full-time,927770.0,0-1,Business Analyst (Full time) - Reference Data
SKILLVENTORY,Pune,Undergraduate,"Automation, BI tools, data modelling, Data Analysis, Predictive modelling, metric management",full-time,965701.0,7-8,Data Analyst -Metrics Management with renowned NBFC orgnisation-Pune
Readytohire !,Hyderabad,Not Specified,"Data Verification, Document Checking, Data Entry, Back Office Processing, Banking Operations, Document Verification, Data Analysis, Data Extraction",contract,938894.0,4-7,Urgent Requirement For DATA Analyst !!
Venator Holdings,Hyderabad,Undergraduate,"Computer science, RCA, Root cause analysis, Web technologies, Information security, Project management, Cloud, Data analytics",contract,1463781.0,5-7,Senior Big Data Developer
GD Research Center Pvt Ltd,Hyderabad,Postgraduate,"Senior Analyst, Analytical, Data Research Analyst, market data, Research, Secondary research",contract,,6-8,Analyst - Consumer Data Projects
Bloom Energy India Pvt Ltd,Mumbai,Postgraduate,"Excel, Sales, Sales operations, Business analytics, Back office, data visualization, Information technology, Forecasting",full-time,2103308.0,7-8,Sales Operations Data Analyst
EDP Software Limited,"Kolkata, Hyderabad, Pune, Ahmedabad, Chennai, Bengaluru, Delhi NCR, Mumbai",Undergraduate,"python, pyspark, data integrator, GPDB, Oracle, PL SQL, Sybase, Unix",full-time,2342084.0,5-7,Data Integrator
Thoucentric,"Bengaluru, Bangalore North",Not Specified,Data Architect,contract,2120472.0,4-5,Data Architect
AVE-Promagne,Bengaluru,Postgraduate,"SQL, Unix shell scripting, Informatica, Azure, SSIS, RDBMS, snowflake, GCP",full-time,1672896.0,0-7,Data warehouse Architect
Third Eye Consulting Services & Solutions,Kolkata,Undergraduate,"SQL, Java, Python, R, IT Skills, Cloud, Symantec, Machine learning",full-time,2386859.0,6-7,Data Professionals Internship Program
Nihilent,"Kolkata, Pune, Chennai",Undergraduate,"JavaScript, Azure SQL, data modelling, ETL frameworks, Power BI, XML, IT Skills, Azure",full-time,1113326.0,6-7,Azure Data Analys
Advent Global Solution Private Limited,"Hyderabad, Chennai, Bengaluru",Postgraduate,"Hive, spark, SCALA, hadoop, Hortonworks Hadoop, Cloudera, big data",full-time,,6-8,Big Data Application Developer
Incline Infotech,"Pune, Bengaluru",Postgraduate,"Hive, Hadoop, Spark, Oozie, SQL, unix, Big Data, Java",full-time,1480594.0,2-3,Big Data Developer
Accenture,Gurugram,Postgraduate,"Data Science, Machine Learning, git, SAS Visual Analytics, Tableau, Python, AWS, Qlik",full-time,1956490.0,4-6,ACN - Applied Intelligence - CC - Data Science - 09
Conduent,"Hyderabad, Ahmedabad",Undergraduate,"Computer science, Business process, Automation, Technical leadership, Healthcare, Data structures, Transaction processing, Operations",full-time,2420381.0,5-6,"Sr. Scientist, R&D, Computer Science & Engineering"
ABCD,Bengaluru,Postgraduate,"SCALA, Big Data",full-time,967840.0,3-5,SE- Core JAVA Big Data
